"hvfhs_license_num","dispatching_base_num","originating_base_num","request_datetime","on_scene_datetime","pickup_datetime","dropoff_datetime","PULocationID","DOLocationID","trip_miles","trip_time","base_passenger_fare","tolls","bcf","sales_tax","congestion_surcharge","airport_fee","tips","driver_pay","shared_request_flag","shared_match_flag","access_a_ride_flag","wav_request_flag","wav_match_flag"
"HV0003","B02869","B02869","2020-04-30 19:05:42","2020-04-30 19:08:17","2020-04-30 19:10:24","2020-04-30 19:38:05",234,178,10.81,1661,32.63,0,0.82,2.9,2.75,NA,0,25.82,"N","N"," ","N","N"
"HV0003","B02869","B02869","2020-04-30 19:46:41","2020-04-30 19:48:33","2020-04-30 19:52:12","2020-04-30 20:07:53",91,177,4.09,941,16.61,0,0.42,1.47,0,NA,0,12.39,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 19:08:14",NA,"2020-04-30 19:15:00","2020-04-30 19:30:57",116,75,3.625,957,15.99,0,0.4,1.42,0,NA,0,12.04,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:22:48",NA,"2020-04-30 19:35:05","2020-04-30 19:52:01",75,75,2.763,1016,12.72,0,0.32,1.13,0,NA,0,11.58,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:17:05",NA,"2020-04-30 19:22:33","2020-04-30 19:43:46",70,17,9.626,1273,28.79,0,0.72,2.56,0,NA,0,21.35,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:43:15",NA,"2020-04-30 19:48:45","2020-04-30 19:53:47",17,49,0.995,302,7.3,0,0.18,0.65,0,NA,0,5.47,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:23:13",NA,"2020-04-30 19:34:30","2020-04-30 19:48:10",79,263,3.944,820,13.78,0,0.34,1.22,2.75,NA,2.71,11.25,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:55:23",NA,"2020-04-30 19:59:59","2020-04-30 20:13:51",141,148,6.869,832,18.71,0,0.47,1.66,2.75,NA,3,14.59,"N","N","N","N","N"
"HV0003","B02867","B02867","2020-04-30 19:03:03","2020-04-30 19:05:09","2020-04-30 19:06:14","2020-04-30 19:15:14",61,17,2.1,540,9.59,0,0.24,0.85,0,NA,0,6.83,"N","N"," ","N","N"
"HV0003","B02617","B02617","2020-04-30 19:16:27","2020-04-30 19:18:27","2020-04-30 19:20:52","2020-04-30 19:25:38",256,148,1.87,286,7.33,0,0.18,0.65,2.75,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02617","B02617","2020-04-30 19:49:15","2020-04-30 19:50:03","2020-04-30 19:51:56","2020-04-30 19:58:37",163,50,1.34,401,7.33,0,0.18,0.65,2.75,NA,0,5.39,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 18:52:17",NA,"2020-04-30 19:07:12","2020-04-30 19:34:37",10,61,9.619,1645,29.31,0,0.73,2.6,0,NA,0,24.46,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:28:41",NA,"2020-04-30 19:38:51","2020-04-30 19:49:28",61,71,2.912,637,10.47,0,0.26,0.93,0,NA,0,8.56,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:49:52",NA,"2020-04-30 19:59:31","2020-04-30 20:25:46",188,82,8.402,1575,30.42,0,0.76,2.7,0,NA,0,22.51,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:06:25",NA,"2020-04-30 19:12:50","2020-04-30 19:18:50",161,90,1.498,360,7.87,0,0.2,0.7,2.75,NA,0,5.47,"N","N","N","N","N"
"HV0003","B02872","B02872","2020-04-30 19:01:24","2020-04-30 19:04:48","2020-04-30 19:06:18","2020-04-30 19:21:51",75,241,7.69,933,23.74,0,0.59,2.11,0,NA,0,16.29,"N","N"," ","N","N"
"HV0003","B02872","B02872","2020-04-30 19:33:42","2020-04-30 19:36:08","2020-04-30 19:37:44","2020-04-30 19:50:13",127,119,3.51,749,13.06,0,0.33,1.16,0,NA,0,10.14,"N","N"," ","N","N"
"HV0003","B02879","B02879","2020-04-30 19:03:20","2020-04-30 19:07:00","2020-04-30 19:08:25","2020-04-30 19:22:11",237,119,4.93,826,17.17,0,0.43,1.52,2.75,NA,0,12.35,"N","N"," ","N","N"
"HV0003","B02617","B02617","2020-04-30 19:22:44","2020-04-30 19:28:03","2020-04-30 19:30:59","2020-04-30 19:43:33",258,124,3.72,754,14.96,0,0.37,1.33,0,NA,0,10.41,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 19:09:33",NA,"2020-04-30 19:15:24","2020-04-30 19:34:34",74,47,6.041,1150,20.89,0.49,0.53,1.9,0,NA,0,16.33,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:45:03",NA,"2020-04-30 19:50:20","2020-04-30 20:02:55",18,235,2.264,755,9.82,0,0.25,0.87,0,NA,0,8.83,"N","N","N","N","N"
"HV0003","B02882","B02882","2020-04-30 19:00:28","2020-04-30 19:01:52","2020-04-30 19:02:39","2020-04-30 19:13:37",230,236,2.98,658,13.2,0,0.33,1.17,2.75,NA,0,8.79,"N","N"," ","N","N"
"HV0003","B02882","B02882","2020-04-30 19:13:34","2020-04-30 19:15:32","2020-04-30 19:18:19","2020-04-30 19:37:51",75,213,6.48,1172,26.08,6.12,0.81,2.86,0,NA,0,16.96,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:21:23","2020-04-30 19:23:25","2020-04-30 19:26:41","2020-04-30 21:25:32",91,265,43.4,7131,155.84,6.12,4.05,14.37,0,NA,0,115.04,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 18:59:43","2020-04-30 19:01:41","2020-04-30 19:02:47","2020-04-30 19:15:00",75,164,4.37,733,15.24,0,0.38,1.36,2.75,NA,0,11.12,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:14:48","2020-04-30 19:19:57","2020-04-30 19:21:43","2020-04-30 19:39:18",137,41,7.32,1055,25.74,0,0.66,2.33,2.75,NA,0,20.81,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:04:41","2020-04-30 19:06:39","2020-04-30 19:08:45","2020-04-30 19:15:48",7,226,1.64,423,7.7,0,0.19,0.68,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:10:16","2020-04-30 19:17:51","2020-04-30 19:19:18","2020-04-30 19:26:43",226,260,1.36,445,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:36:24","2020-04-30 19:39:39","2020-04-30 19:40:33","2020-04-30 19:54:36",226,179,2.8,843,12.73,0,0.32,1.13,0,NA,0,10.15,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 18:56:48","2020-04-30 18:59:48","2020-04-30 19:01:08","2020-04-30 19:06:16",113,137,1.38,308,7.24,0,0.18,0.64,2.75,NA,0,5.55,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:04:44","2020-04-30 19:08:40","2020-04-30 19:11:03","2020-04-30 19:20:36",233,234,1.92,573,8.77,0,0.22,0.78,2.75,NA,0,7.07,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:32:48","2020-04-30 19:36:28","2020-04-30 19:38:01","2020-04-30 19:49:06",246,141,2.65,665,11.8,0,0.3,1.05,2.75,NA,0,11.4,"N","N"," ","N","N"
"HV0003","B02878","B02878","2020-04-30 19:21:32","2020-04-30 19:22:47","2020-04-30 19:24:43","2020-04-30 19:34:35",130,131,1.6,592,9.69,0,0.24,0.86,0,NA,0,6.71,"N","N"," ","N","N"
"HV0003","B02878","B02878","2020-04-30 19:35:45","2020-04-30 19:36:11","2020-04-30 19:37:54","2020-04-30 19:44:34",131,28,1.7,400,7.36,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02872","B02872","2020-04-30 19:46:08","2020-04-30 19:48:29","2020-04-30 19:49:58","2020-04-30 19:54:45",159,168,1.09,287,7.33,0,0.18,0.65,0,NA,0,0,"N","N"," ","N","Y"
"HV0005","B02510",NA,"2020-04-30 19:13:30",NA,"2020-04-30 19:17:52","2020-04-30 19:32:04",50,262,3.997,852,14.13,0,0.35,1.25,2.75,NA,0,11.57,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:27:40",NA,"2020-04-30 19:39:28","2020-04-30 19:51:08",229,236,2.589,700,11.44,0,0.29,1.02,2.75,NA,0,8.74,"N","N","N","N","N"
"HV0003","B02871","B02871","2020-04-30 19:05:09","2020-04-30 19:11:43","2020-04-30 19:12:50","2020-04-30 19:17:08",228,181,0.83,258,7.33,0,0.18,0.65,0,NA,0,10,"N","N"," ","N","Y"
"HV0003","B02871","B02871","2020-04-30 19:12:25","2020-04-30 19:18:39","2020-04-30 19:20:08","2020-04-30 19:36:55",181,188,3.51,1007,12.63,0,0.32,1.12,0,NA,0,18.94,"N","N"," ","N","Y"
"HV0003","B02682","B02682","2020-04-30 19:08:18","2020-04-30 19:09:46","2020-04-30 19:11:55","2020-04-30 19:16:13",42,42,0.82,258,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02682","B02682","2020-04-30 19:12:15","2020-04-30 19:17:18","2020-04-30 19:19:15","2020-04-30 19:29:34",42,119,2.47,619,8.87,0,0.22,0.79,0,NA,0,7.9,"N","N"," ","N","N"
"HV0003","B02875","B02875","2020-04-30 19:01:21","2020-04-30 19:03:36","2020-04-30 19:04:22","2020-04-30 19:06:59",254,254,0.65,157,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02875","B02875","2020-04-30 19:07:11","2020-04-30 19:09:00","2020-04-30 19:10:35","2020-04-30 19:23:07",254,250,4.92,752,16.34,0,0.41,1.45,0,NA,0,11.72,"N","N"," ","N","N"
"HV0003","B02875","B02875","2020-04-30 19:22:44","2020-04-30 19:29:12","2020-04-30 19:31:06","2020-04-30 19:37:52",208,212,2.8,406,10.11,0,0.25,0.9,0,NA,0,6.49,"N","N"," ","N","N"
"HV0003","B02875","B02875","2020-04-30 19:44:56","2020-04-30 19:47:08","2020-04-30 19:49:12","2020-04-30 20:04:02",147,94,3.18,890,15.97,0,0.4,1.42,0,NA,0,10.96,"N","N"," ","N","N"
"HV0003","B02877","B02877","2020-04-30 18:59:28","2020-04-30 18:59:36","2020-04-30 19:01:36","2020-04-30 19:28:34",254,166,11.8,1618,33.75,0,0.84,3,0,NA,0,26.55,"N","N"," ","N","N"
"HV0003","B02877","B02877","2020-04-30 19:34:25","2020-04-30 19:35:17","2020-04-30 19:37:44","2020-04-30 20:00:07",166,169,5.94,1343,16.86,0,0.55,1.51,0,NA,5,19.04,"N","N"," ","N","N"
"HV0003","B02878","B02878","2020-04-30 18:53:40","2020-04-30 18:58:32","2020-04-30 19:00:32","2020-04-30 19:11:18",140,145,2.76,646,11.47,0,0.29,1.02,2.75,NA,0,8.45,"N","N"," ","N","N"
"HV0003","B02878","B02878","2020-04-30 19:07:40","2020-04-30 19:16:56","2020-04-30 19:18:52","2020-04-30 19:46:57",202,250,9.9,1685,27.89,6.12,0.85,3.02,0,NA,0,25.02,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:07:28","2020-04-30 19:11:44","2020-04-30 19:13:47","2020-04-30 19:22:39",188,89,1.74,532,9.44,0,0.24,0.84,0,NA,0,7.09,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:23:16","2020-04-30 19:27:00","2020-04-30 19:29:48","2020-04-30 19:46:00",133,14,6.1,972,19.88,0,0.5,1.76,0,NA,0,14.86,"N","N"," ","N","N"
"HV0003","B02871","B02871","2020-04-30 18:59:48","2020-04-30 19:05:12","2020-04-30 19:06:45","2020-04-30 19:10:52",71,188,0.89,247,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02871","B02871","2020-04-30 19:27:24","2020-04-30 19:32:00","2020-04-30 19:34:26","2020-04-30 19:41:14",210,29,1.8,408,7.44,0,0.19,0.66,0,NA,0,5.4,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 19:13:23",NA,"2020-04-30 19:16:27","2020-04-30 19:19:18",188,188,0.639,171,7.3,0,0.18,0.65,0,NA,0,5.47,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:23:43",NA,"2020-04-30 19:29:53","2020-04-30 19:45:40",188,35,2.897,947,12.4,0,0.31,1.1,0,NA,0,11.14,"N","N","N","N","N"
"HV0003","B02512","B02512","2020-04-30 19:21:53","2020-04-30 19:22:01","2020-04-30 19:26:33","2020-04-30 19:39:43",94,147,3.13,790,13.89,0,0.35,1.23,0,NA,0,10.06,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 19:04:08",NA,"2020-04-30 19:11:55","2020-04-30 19:28:27",74,249,6.69,992,23.84,0,0.6,2.12,2.75,NA,2,15.73,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:30:17",NA,"2020-04-30 19:40:12","2020-04-30 19:47:32",148,80,2.969,440,11.57,0,0.29,1.03,2.75,NA,1,6.97,"N","N","N","N","N"
"HV0003","B02872","B02872","2020-04-30 19:52:21","2020-04-30 19:55:44","2020-04-30 19:57:42","2020-04-30 20:13:10",80,40,4.7,928,19.17,0,0.48,1.7,0,NA,0,12.94,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:12:14","2020-04-30 19:16:54","2020-04-30 19:17:53","2020-04-30 19:36:01",106,72,5.16,1088,19.88,0,0.5,1.76,0,NA,0,14.8,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:38:02","2020-04-30 19:41:54","2020-04-30 19:42:43","2020-04-30 19:55:48",72,76,3.24,785,13.6,0,0.34,1.21,0,NA,0,10.15,"N","N"," ","N","N"
"HV0003","B02872","B02872","2020-04-30 19:09:36","2020-04-30 19:11:51","2020-04-30 19:13:16","2020-04-30 19:22:35",71,61,2.05,559,8.87,0,0.22,0.79,0,NA,0,6.94,"N","N"," ","N","N"
"HV0003","B02872","B02872","2020-04-30 19:24:30","2020-04-30 19:24:59","2020-04-30 19:27:38","2020-04-30 19:52:59",61,233,10.12,1521,28.43,0,0.72,2.57,2.75,NA,0,23.89,"N","N"," ","N","N"
"HV0003","B02765","B02765","2020-04-30 19:25:18","2020-04-30 19:26:23","2020-04-30 19:26:57","2020-04-30 19:34:04",260,70,2.31,427,9.08,0,0.23,0.81,0,NA,0,6.12,"N","N"," ","N","N"
"HV0003","B02884","B02884","2020-04-30 18:59:14","2020-04-30 18:59:52","2020-04-30 19:01:18","2020-04-30 19:13:22",169,182,3.66,724,12.9,0,0.32,1.14,0,NA,0,10.09,"N","N"," ","N","N"
"HV0003","B02884","B02884","2020-04-30 19:16:53","2020-04-30 19:21:08","2020-04-30 19:23:56","2020-04-30 19:29:07",212,248,1,311,7.34,0,0.18,0.65,0,NA,0,5.4,"N","N"," ","N","N"
"HV0003","B02884","B02884","2020-04-30 19:30:20","2020-04-30 19:31:36","2020-04-30 19:34:24","2020-04-30 19:47:42",248,183,4.53,798,16,0,0.4,1.42,0,NA,0,11.67,"N","N"," ","N","N"
"HV0003","B02884","B02884","2020-04-30 19:52:06","2020-04-30 19:56:24","2020-04-30 19:58:42","2020-04-30 20:11:25",208,213,4.24,763,13.21,0,0.33,1.17,0,NA,0,11.06,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:30:26","2020-04-30 19:41:15","2020-04-30 19:42:52","2020-04-30 19:48:34",126,147,1.39,342,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02395","B02395","2020-04-30 18:54:47","2020-04-30 19:00:42","2020-04-30 19:01:19","2020-04-30 19:06:56",7,179,1.41,337,7.33,0,0,0,0,NA,3,9.44,"N","N"," ","N","Y"
"HV0003","B02395","B02395","2020-04-30 19:06:42","2020-04-30 19:11:50","2020-04-30 19:13:48","2020-04-30 19:20:58",193,7,1.68,430,7.56,0,0,0,0,NA,0,9.51,"N","N"," ","N","Y"
"HV0003","B02395","B02395","2020-04-30 19:21:22","2020-04-30 19:22:50","2020-04-30 19:25:12","2020-04-30 19:31:05",7,7,1.53,353,7.33,0,0,0,0,NA,0,9.44,"N","N"," ","N","Y"
"HV0003","B02395","B02395","2020-04-30 19:28:51","2020-04-30 19:32:22","2020-04-30 19:33:36","2020-04-30 20:19:17",7,74,7.33,2741,47.32,0,0,0,2.75,NA,0,48.43,"N","N"," ","N","Y"
"HV0003","B02764","B02764","2020-04-30 19:04:30","2020-04-30 19:04:40","2020-04-30 19:05:03","2020-04-30 19:19:20",41,169,4.8,857,14.96,0,0.4,1.33,0,NA,1,12.46,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:20:03","2020-04-30 19:21:38","2020-04-30 19:24:23","2020-04-30 19:31:47",169,235,1.21,444,8.33,0,0.21,0.74,0,NA,0,6.14,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:47:03","2020-04-30 19:48:34","2020-04-30 19:51:16","2020-04-30 19:59:41",136,18,1.58,505,2.42,0,0.19,0.66,0,NA,0,5.96,"N","N"," ","N","N"
"HV0003","B02864","B02864","2020-04-30 19:14:42","2020-04-30 19:23:09","2020-04-30 19:24:42","2020-04-30 19:43:41",45,37,5.31,1139,19.44,0,0.49,1.73,2.75,NA,0,15.39,"N","N"," ","N","N"
"HV0003","B02877","B02877","2020-04-30 19:04:36","2020-04-30 19:06:55","2020-04-30 19:09:45","2020-04-30 19:22:28",127,147,6.74,763,15.96,0,0.4,1.42,0,NA,0,13.82,"N","N"," ","N","N"
"HV0003","B02877","B02877","2020-04-30 19:51:52","2020-04-30 19:52:25","2020-04-30 19:59:13","2020-04-30 20:05:15",32,174,1.72,362,11.01,0,0.28,0.98,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02866","B02866","2020-04-30 19:13:39","2020-04-30 19:19:28","2020-04-30 19:21:09","2020-04-30 19:29:21",209,231,1.29,492,7.33,0,0.18,0.65,2.75,NA,0,5.54,"N","N"," ","N","N"
"HV0003","B02866","B02866","2020-04-30 19:33:42","2020-04-30 19:35:56","2020-04-30 19:38:01","2020-04-30 19:50:09",144,100,2.8,728,15.74,0,0.39,1.4,2.75,NA,0,9.18,"N","N"," ","N","N"
"HV0003","B02866","B02866","2020-04-30 19:54:01","2020-04-30 19:55:12","2020-04-30 19:58:14","2020-04-30 20:09:28",246,229,2.52,674,14.14,0,0.35,1.25,2.75,NA,0,8.42,"N","N"," ","N","N"
"HV0003","B02877","B02877","2020-04-30 18:59:26","2020-04-30 19:04:12","2020-04-30 19:06:44","2020-04-30 19:21:30",3,78,3.45,886,14.79,0,0.37,1.31,0,NA,0,11.22,"N","N"," ","N","N"
"HV0003","B02877","B02877","2020-04-30 19:24:39","2020-04-30 19:26:06","2020-04-30 19:28:44","2020-04-30 19:37:35",78,167,1.81,531,7.19,0,0.18,0.64,0,NA,0,6.43,"N","N"," ","N","N"
"HV0003","B02877","B02877","2020-04-30 19:36:49","2020-04-30 19:41:06","2020-04-30 19:42:26","2020-04-30 19:49:33",147,78,1.76,427,8.49,0,0.21,0.75,0,NA,0,5.51,"N","N"," ","N","N"
"HV0003","B02887","B02887","2020-04-30 19:04:28","2020-04-30 19:08:24","2020-04-30 19:09:13","2020-04-30 19:13:29",244,116,0.85,256,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02887","B02887","2020-04-30 19:15:45","2020-04-30 19:18:00","2020-04-30 19:20:57","2020-04-30 19:35:24",166,247,3.09,867,13.57,0,0.34,1.2,0,NA,0,10.66,"N","N"," ","N","N"
"HV0003","B02887","B02887","2020-04-30 19:35:50","2020-04-30 19:37:56","2020-04-30 19:39:49","2020-04-30 19:53:42",69,213,3.52,833,14.52,0,0.36,1.29,0,NA,0,10.85,"N","N"," ","N","N"
"HV0003","B02870","B02870","2020-04-30 19:02:22","2020-04-30 19:03:26","2020-04-30 19:06:50","2020-04-30 19:33:59",148,208,14.31,1629,39.77,0,0.99,3.53,2.75,NA,0,29.42,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 19:44:31",NA,"2020-04-30 19:49:18","2020-04-30 20:19:18",36,14,13.219,1800,41.71,0.16,1.05,3.72,0,NA,5,29.74,"N","N","N","N","N"
"HV0003","B02875","B02875","2020-04-30 19:18:19","2020-04-30 19:19:30","2020-04-30 19:21:35","2020-04-30 19:44:56",78,157,11.78,1401,33.53,6.12,1.12,3.53,0,NA,5,24.71,"N","N"," ","N","N"
"HV0003","B02395","B02395","2020-04-30 18:53:49","2020-04-30 18:57:45","2020-04-30 19:00:33","2020-04-30 19:09:17",78,242,1.63,524,7.32,0,0,0,0,NA,0,6.19,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:06:21","2020-04-30 19:06:29","2020-04-30 19:07:26","2020-04-30 19:16:25",167,69,1.69,539,7.94,0,0.2,0.7,0,NA,0,6.37,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:17:56","2020-04-30 19:19:17","2020-04-30 19:22:46","2020-04-30 19:31:43",69,42,1.86,537,8.85,0,0.22,0.79,0,NA,0,6.55,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:31:29","2020-04-30 19:31:44","2020-04-30 19:34:42","2020-04-30 19:52:31",42,185,7.33,1069,23.85,0,0.6,2.12,0,NA,0,17.03,"N","N"," ","N","N"
"HV0003","B02872","B02872","2020-04-30 19:13:01","2020-04-30 19:14:07","2020-04-30 19:14:57","2020-04-30 19:24:01",244,152,2.69,544,10.54,0,0.26,0.94,0,NA,0,13,"N","N"," ","N","Y"
"HV0003","B02872","B02872","2020-04-30 19:27:53","2020-04-30 19:32:15","2020-04-30 19:33:34","2020-04-30 19:43:21",41,262,2.61,587,11.55,0,0.29,1.03,2.75,NA,0,13.35,"N","N"," ","N","Y"
"HV0003","B02872","B02872","2020-04-30 19:56:13","2020-04-30 19:57:35","2020-04-30 19:59:39","2020-04-30 20:06:59",226,129,1.8,440,7.33,0,0.18,0.65,0,NA,0,10.6,"N","N"," ","N","Y"
"HV0003","B02876","B02876","2020-04-30 19:01:42","2020-04-30 19:07:21","2020-04-30 19:08:57","2020-04-30 19:17:35",73,192,2.27,518,9.56,0,0.24,0.85,0,NA,0,6.84,"N","N"," ","N","N"
"HV0003","B02876","B02876","2020-04-30 19:19:01","2020-04-30 19:20:49","2020-04-30 19:22:19","2020-04-30 19:35:03",192,64,6.78,764,16.57,0,0.46,1.65,0,NA,0,13.87,"N","N"," ","N","N"
